"area","key","portugues_pt","english_en"
"nav","nav.home","Início","Home"
"nav","nav.brackets","Chaves","Brackets"
"nav","nav.tournaments","Torneios","Tournaments"
"nav","nav.groups","Grupos","Groups"
"nav","nav.myPredictions","Meus Palpites","My Predictions"
"nav","nav.ranking","Ranking","Ranking"
"nav","nav.rankingGeneral","Ranking Geral","Overall Ranking"
"nav","nav.rankingByTournament","Ranking por Torneio","Tournament Ranking"
"nav","nav.rules","Regras","Rules"
"nav","nav.profile","Meu Perfil","My Profile"
"nav","nav.logout","Sair","Log out"
"nav","nav.login","Entrar","Log in"
"nav","nav.register","Cadastrar","Sign up"
"nav","nav.participant","Participante","Participant"
"nav","nav.guest","Visitante","Guest"
"nav","nav.registeredUsers","Número de inscritos no site","Registered users on the site"
"buttons","buttons.savePrediction","Salvar Palpite","Save Prediction"
"buttons","buttons.edit","Editar","Edit"
"buttons","buttons.confirm","Confirmar","Confirm"
"buttons","buttons.back","Voltar","Back"
"buttons","buttons.finalize","Finalizar","Finalize"
"buttons","buttons.saving","Salvando...","Saving..."
"buttons","buttons.official","Oficial","Official"
"buttons","buttons.myPrediction","Meu Palpite","My Prediction"
"buttons","buttons.viewPrediction","Ver Palpite","View Prediction"
"buttons","buttons.cancel","Cancelar","Cancel"
"buttons","buttons.delete","Excluir","Delete"
"buttons","buttons.save","Salvar","Save"
"buttons","buttons.search","Pesquisar","Search"
"buttons","buttons.clear","Limpar","Clear"
"buttons","buttons.viewAll","Ver todos","View all"
"buttons","buttons.manage","Gerenciar","Manage"
"buttons","buttons.close","Fechar","Close"
"tennis","tennis.round","Rodada","Round"
"tennis","tennis.roundOf64","64-avos de final","Round of 64"
"tennis","tennis.roundOf32","32-avos de final","Round of 32"
"tennis","tennis.roundOf16","Oitavas","Round of 16"
"tennis","tennis.quarterfinals","Quartas de Final","Quarterfinals"
"tennis","tennis.semifinals","Semifinais","Semifinals"
"tennis","tennis.final","Final","Final"
"tennis","tennis.winner","Vencedor","Winner"
"tennis","tennis.player","Jogador","Player"
"tennis","tennis.set","Set","Set"
"tennis","tennis.tiebreak","Tie-break","Tie-break"
"tennis","tennis.qualifier","Qualifier","Qualifier"
"tennis","tennis.qualifier1","Qualifier 1","Qualifier 1"
"tennis","tennis.qualifier2","Qualifier 2","Qualifier 2"
"tennis","tennis.wildcard","Wild Card","Wild Card"
"tennis","tennis.luckyLoser","Lucky Loser","Lucky Loser"
"tennis","tennis.nextGen","Next Gen","Next Gen"
"tennis","tennis.alternate","Alternate","Alternate"
"tennis","tennis.bye","BYE","BYE"
"tennis","tennis.walkover","W/O","W/O"
"tennis","tennis.retired","RET","RET"
"tennis","tennis.pointsCancelled","ANULADA","VOID"
"tennis","tennis.champion","Campeão","Champion"
"tennis","tennis.runnerUp","Vice-Campeão","Runner-up"
"bracket","bracket.missingMatch","Confronto ausente","Missing match"
"bracket","bracket.bracketError","ERRO DE CHAVEAMENTO","BRACKET ERROR"
"bracket","bracket.awaitingResults","Aguardando resultados","Awaiting results"
"bracket","bracket.notPredicted","Sem palpite","Not predicted"
"bracket","bracket.toBeDefined","A definir","TBD"
"bracket","bracket.awaitingQualifier","Aguardando definição do Qualifier pela organização.","Waiting for the organization to assign the Qualifier."
"bracket","bracket.unsavedWarning","Você tem palpites não salvos. Tem certeza que deseja sair?","You have unsaved predictions. Are you sure you want to leave?"
"feedback","feedback.predictionSaved","Palpite salvo com sucesso!","Prediction saved successfully!"
"feedback","feedback.predictionSaveError","Erro ao salvar","Error saving prediction"
"feedback","feedback.predictionSaveErrorDetail","Ocorreu um erro ao salvar seu palpite. Tente novamente.","Something went wrong while saving your prediction. Please try again."
"feedback","feedback.bracketUnavailable","Chaveamento ainda não disponível.","Bracket is not available yet."
"feedback","feedback.fillAllMatches","Preencha todos os confrontos antes de finalizar.","Fill in all matches before finalizing."
"feedback","feedback.waitPlayersDefined","Aguarde todos os jogadores da chave serem definidos antes de finalizar.","Wait until all bracket players are set before finalizing."
